,ticker,indices
0,A,['S&P 500']
1,AADI,['Russell 2000']
2,AAL,['S&P 500']
3,AAN,['Russell 2000']
4,AAON,['Russell 2000']
5,AAP,['S&P 500']
6,AAPL,"['S&P 500', 'Nasdaq 100']"
7,AAT,['Russell 2000']
8,AAWW,['Russell 2000']
9,ABBV,['S&P 500']
10,ABC,['S&P 500']
11,ABCB,['Russell 2000']
12,ABCL,['Russell 2000']
13,ABG,['Russell 2000']
14,ABM,['Russell 2000']
15,ABMD,['S&P 500']
16,ABNB,['Nasdaq 100']
17,ABR,['Russell 2000']
18,ABSI,['Russell 2000']
19,ABT,['S&P 500']
20,ABTX,['Russell 2000']
21,ABUS,['Russell 2000']
22,AC,['Russell 2000']
23,ACA,['Russell 2000']
24,ACAD,['Russell 2000']
25,ACCD,['Russell 2000']
26,ACCO,['Russell 2000']
27,ACEL,['Russell 2000']
28,ACET,['Russell 2000']
29,ACHR,['Russell 2000']
30,ACIW,['Russell 2000']
31,ACLS,['Russell 2000']
32,ACLX,['Russell 2000']
33,ACMR,['Russell 2000']
34,ACN,['S&P 500']
35,ACNB,['Russell 2000']
36,ACRE,['Russell 2000']
37,ACRS,['Russell 2000']
38,ACT,['Russell 2000']
39,ACVA,['Russell 2000']
40,ADBE,"['S&P 500', 'Nasdaq 100']"
41,ADC,['Russell 2000']
42,ADGI,['Russell 2000']
43,ADI,"['S&P 500', 'Nasdaq 100']"
44,ADM,['S&P 500']
45,ADMA,['Russell 2000']
46,ADNT,['Russell 2000']
47,ADP,"['S&P 500', 'Nasdaq 100']"
48,ADPT,['Russell 2000']
49,ADSK,"['S&P 500', 'Nasdaq 100']"
50,ADTH,['Russell 2000']
51,ADTN,['Russell 2000']
52,ADUS,['Russell 2000']
53,ADV,['Russell 2000']
54,AEE,['S&P 500']
55,AEIS,['Russell 2000']
56,AEL,['Russell 2000']
57,AEO,['Russell 2000']
58,AEP,"['S&P 500', 'Nasdaq 100']"
59,AERI,['Russell 2000']
60,AES,['S&P 500']
61,AEVA,['Russell 2000']
62,AFCG,['Russell 2000']
63,AFL,['S&P 500']
64,AFMD,['Russell 2000']
65,AGEN,['Russell 2000']
66,AGIO,['Russell 2000']
67,AGM,['Russell 2000']
68,AGTI,['Russell 2000']
69,AGX,['Russell 2000']
70,AGYS,['Russell 2000']
71,AHCO,['Russell 2000']
72,AHH,['Russell 2000']
73,AHT,['Russell 2000']
74,AI,['Russell 2000']
75,AIG,['S&P 500']
76,AIMC,['Russell 2000']
77,AIN,['Russell 2000']
78,AIP,['Russell 2000']
79,AIR,['Russell 2000']
80,AIRS,['Russell 2000']
81,AIT,['Russell 2000']
82,AIV,['Russell 2000']
83,AIZ,['S&P 500']
84,AJG,['S&P 500']
85,AJRD,['Russell 2000']
86,AKA,['Russell 2000']
87,AKAM,['S&P 500']
